"materialid","nombre"
"2167448","TCW40x1,5_ZCF_10305-3_E220 6000"
"2020473","TCW40x2_PCF_10305-3_E220 6000"
"2167323","TCW40x3_HBCF_10219_S275J0H 6000"
"2019484","TCW42,4x3,2_M_HBCF_10255_S195T_SE"
"2167396","TCW45x1,5_PCF_10305-3_E220 6000"
"2167458","TCW48x1,5_ZCF_10305-3_E220 6000"
"2167401","TCW50x1,5_PCF_10305-3_E220 6000"
"2167460","TCW50x1,5_ZCF_10305-3_E220 6000"
"2162188","TCW50x2_PCF_10305-3_E220 6000"
"2167461","TCW50x2_ZCF_10305-3_E220 6000"
"2167332","TCW50x3_HBCF_10219_S275J0H 6000"
"2060875","TCW60,3x2,9_L2_HBCF_10255_S195T_SE 6000"
"2167404","TCW60x1,5_PCF_10305-3_E220 6000"
"2161553","TCW60x1,5_ZCF_10305-3_E220 6000"
"2167405","TCW60x2_PCF_10305-3_E220 6000"
"2166947","TCW60x3_HBCF_10219_S275J0H"
"2167408","TCW70x2_PCF_10305-3_E220 6000"
"2167343","TCW70x3_HBCF_10219_S275J0H 6000"
"2061377","TCW76,1x3,2_L2_HBCF_10255_S195T_SE 6000"
"2167412","TCW80x1,5_PCF_10305-3_E220 6000"
"2167413","TCW80x2_PCF_10305-3_E220 6000"
"2167468","TCW80x2_ZCF_10305-3_E220 6000"
"2166957","TCW80x3_HBCF_10219_S275J0H"
"2167352","TCW80x3_HBCF_10219_S275J0H 6000"
"2166961","TCW88,9x3_HBCF_10219_S275J0H"
"2177117","TCW88,9x3_HBCF_10219_S355J2H"
"2167357","TCW88,9x4_HBCF_10219_S275J0H 6000"
"2099963","TFOW_PCF_E235_40x20x1,5 6000"
"2167077","TRW100x20x1,5_PCF_10305-5_E220 6000"
"2167079","TRW100x30x2_PCF_10305-5_E220 6000"
"2167081","TRW100x40x2_PCF_10305-5_E220 6000"
"2167171","TRW100x40x2_ZCF_10305-5_E220 6000"
"2161585","TRW100x40x3_HBCF_10219_S275J0H 6000"
"2167083","TRW100x50x2_PCF_10305-5_E220 6000"
"2079975","TRW100x50x3_HBCF_10219_S275J0H 6000"
"2009298","TRW100x50x4_HBCF_10219_S275J0H 6000"
"2167084","TRW100x60x2_PCF_10305-5_E220 6000"
"2079993","TRW100x60x3_HBCF_10219_S275J0H 6000"
"2079997","TRW100x60x4_HBCF_10219_S275J0H 6000"
"2009331","TRW100x80x3_HBCF_10219_S275J0H 6000"
"2167087","TRW120x60x2_PCF_10305-5_E220 6000"
"2070900","TRW120x60x3_HBCF_10219_S275J0H 6000"
"2009370","TRW120x60x4_HBCF_10219_S275J0H"
"2009371","TRW120x60x4_HBCF_10219_S275J0H 6000"
"2080077","TRW120x60x5_HBCF_10219_S275J0H 6000"
"2070904","TRW120x80x4_HBCF_10219_S275J0H 6000"
"2080118","TRW140x60x4_HBCF_10219_S275J0H 6000"
"2009432","TRW140x70x8_HBCF_10219_S355J2H"
"2009456","TRW140x80x4_HBCF_10219_S275J0H 6000"
"2069491","TRW140x80x5_HBCF_10219_S275J0H"
"2070913","TRW140x80x5_HBCF_10219_S275J0H 12000"
"2080219","TRW160x120x5_HBCF_10219_S275J0H 12000"
"2070926","TRW200x100x5_HBCF_10219_S275J0H 12000"
"2167089","TRW20x10x1,5_PCF_10305-5_E220 6000"
"2019026","TRW250x100x10_HBCF_10219_S355J2H 12000"
"2167091","TRW25x10x1,5_PCF_10305-5_E220 6000"
"2167092","TRW25x15x1,5_PCF_10305-5_E220 6000"
"2167095","TRW30x10x1,5_PCF_10305-5_E220 6000"
"2167096","TRW30x15x1,5_PCF_10305-5_E220 6000"
"2167099","TRW30x20x1,5_PCF_10305-5_E220 6000"
"2167183","TRW30x20x1,5_ZCF_10305-5_E220 6000"
"2167104","TRW35x15x1,5_PCF_10305-5_E220 6000"
"2162202","TRW35x20x1,5_PCF_10305-5_E220 6000"
"2167106","TRW35x25x1,5_PCF_10305-5_E220 6000"
"2167108","TRW40x10x1,5_PCF_10305-5_E220 6000"
"2167109","TRW40x15x1,5_PCF_10305-5_E220 6000"
"2167111","TRW40x20x1,5_PCF_10305-5_E220 6000"
"2167190","TRW40x20x1,5_ZCF_10305-5_E220 6000"
"2167113","TRW40x25x1,5_PCF_10305-5_E220 6000"
"2167116","TRW40x30x1,5_PCF_10305-5_E220 6000"
"2167193","TRW40x30x1,5_ZCF_10305-5_E220 6000"
"2167129","TRW50x10x1,5_PCF_10305-5_E220 6000"
"2167130","TRW50x15x1,5_PCF_10305-5_E220 6000"
"2162207","TRW50x20x1,5_PCF_10305-5_E220 6000"
"2167132","TRW50x25x1,5_PCF_10305-5_E220 6000"
"2162203","TRW50x30x1,5_PCF_10305-5_E220 6000"
"2167200","TRW50x30x1,5_ZCF_10305-5_E220 6000"
"2167134","TRW50x30x2_PCF_10305-5_E220 6000"
"2167136","TRW50x40x1,5_PCF_10305-5_E220 6000"
"2167201","TRW50x40x1,5_ZCF_10305-5_E220 6000"
"2167137","TRW50x40x2_PCF_10305-5_E220 6000"
"2167138","TRW60x10x1,5_PCF_10305-5_E220 6000"
